Job Description,Job Category
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Under direction of,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Under direction of,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Under direction of,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Under direction of,Engineering Architecture & Planning
The mission of the Division of the Environmental Health (EH) is to protect and reduce incidence of illness and injury caused by health hazards and promotes the health of all New Yorkers through the services provided by the eight Bureaus that comprise the Division: Division ManagementChild CareFood Safety Community SanitationEnvironmental Disease and Injury PreventionEnvironmental Sciences and EngineeringVeterinary and Pest Control ServicesRegulatory and External Affairs and Environmental Surveillance and Policy. The Health Academy provides training and certification courses in areas mandated by the Health Code. The goal is to provide the most up-to-date information in each areausing state of the art equipmentthe latest presentation techniques and languages required by the majority of registrants.Duties will i,Health
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Working under dire,Health
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Working under dire,Health
Serves as the Senior Port Engineer for the Staten Island Ferryunder the administrative direction of the Director of Ferry Operations. With wide latitude for independent initiativejudgment and decisionmanages the day to day engine department operations and maintenanceincluding licensed and unlicensed engine personnelto assure vessel systems reliability and efficiency. This is a managerial class position. EXAMPLES OF TYPICAL TASKS:Manage day to day below deck operations and assist in daily operations of the Ferry Operations unit. Maintain engine department operationscrewing schedules and vessels within the framework of a Safety Management System. Supervise engine department personnel and staffing on a 24-hour-a-day basis. Supervise all aspects of budget managementincluding but not limited to such tasks as approving labormaterialssuppliesequipment and parts within vessel engine department operating budgets. Evaluate routine engine department work ordersstore requests and labor expendit,Engineering Architecture & Planning Building Op
Serves as the Senior Port Engineer for the Staten Island Ferryunder the administrative direction of the Director of Ferry Operations. With wide latitude for independent initiativejudgment and decisionmanages the day to day engine department operations and maintenanceincluding licensed and unlicensed engine personnelto assure vessel systems reliability and efficiency. This is a managerial class position. EXAMPLES OF TYPICAL TASKS:Manage day to day below deck operations and assist in daily operations of the Ferry Operations unit. Maintain engine department operationscrewing schedules and vessels within the framework of a Safety Management System. Supervise engine department personnel and staffing on a 24-hour-a-day basis. Supervise all aspects of budget managementincluding but not limited to such tasks as approving labormaterialssuppliesequipment and parts within vessel engine department operating budgets. Evaluate routine engine department work ordersstore requests and labor expendit,Engineering Architecture & Planning Building Op
The Senior QA Analyst will perform functional testing of integrated Filenet workflowsweb applicationsmainframe applicationsdocument and track all application bugs and resolutionsas well as interact with developersBusiness Analysts and end users in defect resolution. Duties will also include reviewing BRDs and functional and design specifications to ensure full understandingidentify testing requirements from specificationsbuild and execute test plans and test casesfacilitate test plan reviews with cross-functional team membersfacilitate discussions on defects identifiedreport and track all defectsand verify fixes in QA environment. Writing scripts for automation tools like Test CompleteQTPSelenium.Please note: Computer Specialist (Software) Exam No. 7005 (Open Competitive) is now open for filling and closes on September 272016. Candidates applying for this position should file for this exam.,TechnologyData & Innovation
The Senior QA Analyst will perform functional testing of integrated Filenet workflowsweb applicationsmainframe applicationsdocument and track all application bugs and resolutionsas well as interact with developersBusiness Analysts and end users in defect resolution. Duties will also include reviewing BRDs and functional and design specifications to ensure full understandingidentify testing requirements from specificationsbuild and execute test plans and test casesfacilitate test plan reviews with cross-functional team membersfacilitate discussions on defects identifiedreport and track all defectsand verify fixes in QA environment. Writing scripts for automation tools like Test CompleteQTPSelenium.Please note: Computer Specialist (Software) Exam No. 7005 (Open Competitive) is now open for filling and closes on September 272016. Candidates applying for this position should file for this exam.,TechnologyData & Innovation
Under general supervisionthe successful candidate will perform difficult and complex work on landscape architectural projects.Responsibilities includebut are not limited to the following: 1.Prepare project contract documents including drawingsspecificationsand estimates of quantities. 2.Review and oversee landscape architectural projects by consultants. 3.Conduct field visits and project coordination. 4.Investigate and propose solutions to relevant problems of gradingspatial organization and site utilization.Prepare suitable graphics and presentations to communicate design intent. 5.Present and respond to governmental agenciesinternal departmentscontractors and their representativesconsultantsand stakeholders. 6.Review and comment on shop drawings.Conduct site inspections for quality assurance. 7.Develop and track project schedules and budgets.8.Provide project progress and status reports.,Engineering Architecture & Planning
Under general supervisionthe successful candidate will perform difficult and complex work on landscape architectural projects.Responsibilities includebut are not limited to the following: 1.Prepare project contract documents including drawingsspecificationsand estimates of quantities. 2.Review and oversee landscape architectural projects by consultants. 3.Conduct field visits and project coordination. 4.Investigate and propose solutions to relevant problems of gradingspatial organization and site utilization.Prepare suitable graphics and presentations to communicate design intent. 5.Present and respond to governmental agenciesinternal departmentscontractors and their representativesconsultantsand stakeholders. 6.Review and comment on shop drawings.Conduct site inspections for quality assurance. 7.Develop and track project schedules and budgets.8.Provide project progress and status reports.,Engineering Architecture & Planning
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.3 billion NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways. The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $3B of planning and design contracts under the responsibility and management of the bureau. The projects BEDC implement allow DEP as a whole to continue to operate and maintain an exemplary water suppl,Engineering Architecture & Planning Health Publ
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.3 billion NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways. The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $3B of planning and design contracts under the responsibility and management of the bureau. The projects BEDC implement allow DEP as a whole to continue to operate and maintain an exemplary water suppl,Engineering Architecture & Planning Health Publ
The Mayor Office of Environmental Coordination (MOEC) is responsible for overseeing New York City environmental review process as mandated by the State Environmental Quality Review Act (SEQRA). MOEC reviews environmental analyses conducted pursuant to the City Environmental Quality Review (CEQR) framework for projects sponsored by the New York City Economic Development Corporationfor which the Office of the Deputy Mayor for Housing and Economic Development is the designated lead agency. CEQR is the process by which New York City agencies determine what effects a discretionary action they approve may have upon the environment. MOEC also assists City agencies in carrying out their environmental review responsibilities. In addition to being the repository for all CEQR documents produced in the CityMOEC serves as the City's liaison to state and federal agencies on environmental matters and advises the Mayor on matters of environmental policy.MOEC seeks two Senior Project Managers to manag,PolicyResearch & Analysis
The Mayor Office of Environmental Coordination (MOEC) is responsible for overseeing New York City environmental review process as mandated by the State Environmental Quality Review Act (SEQRA). MOEC reviews environmental analyses conducted pursuant to the City Environmental Quality Review (CEQR) framework for projects sponsored by the New York City Economic Development Corporationfor which the Office of the Deputy Mayor for Housing and Economic Development is the designated lead agency. CEQR is the process by which New York City agencies determine what effects a discretionary action they approve may have upon the environment. MOEC also assists City agencies in carrying out their environmental review responsibilities. In addition to being the repository for all CEQR documents produced in the CityMOEC serves as the City's liaison to state and federal agencies on environmental matters and advises the Mayor on matters of environmental policy.MOEC seeks two Senior Project Managers to manag,PolicyResearch & Analysis
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 9 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. We are seeking to hire a an Assistant Civil Engineer(ACE) to join our Construction team in order to ensure that NYC water and sewer systems are functioning properly and in compliance with NYC rules and regulations. He/She will oversee water and sewer main reconstruction contractsparticipate in the scheduling of contractor activitiescommunicate with City personnel of various trade classificationsand track and mo,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 9 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. We are seeking to hire a an Assistant Civil Engineer(ACE) to join our Construction team in order to ensure that NYC water and sewer systems are functioning properly and in compliance with NYC rules and regulations. He/She will oversee water and sewer main reconstruction contractsparticipate in the scheduling of contractor activitiescommunicate with City personnel of various trade classificationsand track and mo,Engineering Architecture & Planning
The Press Assistant provides overall support to the Press Secretarythe Law Department primary liaison with the media. The Press Assistant will support the Press Secretary in communicating sensitive and confidential City matters with the utmost discretionjudgment and professionalism. Under the guidance of the Press Secretarytasks include: -responding to media and agency requests about the City legal matters -researching and writing statements /press releases about breaking Court decisions and other legal developments -developing talking points and quotes about Law Department cases for use by senior executive City staff -notifying internal staff and other City stakeholders of Law Department matters in the press and related media inquires-performing various administrative duties as neededincluding maintaining a current press list and answering phones-meeting critical deadlines occasionally in a high-pressuredeadline-driven environment,Communications & Intergovernmental Affairs
The Press Assistant provides overall support to the Press Secretarythe Law Department primary liaison with the media. The Press Assistant will support the Press Secretary in communicating sensitive and confidential City matters with the utmost discretionjudgment and professionalism. Under the guidance of the Press Secretarytasks include: -responding to media and agency requests about the City legal matters -researching and writing statements /press releases about breaking Court decisions and other legal developments -developing talking points and quotes about Law Department cases for use by senior executive City staff -notifying internal staff and other City stakeholders of Law Department matters in the press and related media inquires-performing various administrative duties as neededincluding maintaining a current press list and answering phones-meeting critical deadlines occasionally in a high-pressuredeadline-driven environment,Communications & Intergovernmental Affairs
"NYCERS IT Division seeks a Database Manager to support its Legacy Replacement Project (LRP) efforta mission critical transformative project that will ultimately achieve the migration of NYCERS core line-ofÂ­ business mainframe applications to modem technologies. The Database Manager role is critical to ensuring NYCERS data is as prepared as possible for future migration. The successful candidate will not only possess strong technical skills in the areas of data quality and data migrationbut will also be exceptionally ""hands on"" and able to effectively perform work independently as well as part of a team with both business and technical team members. In this capacitythe Database Manager will:â€¢ Coordinate all Data Analyst work activities including the identificationinventoryingand classification of NYCERS critical data. â€¢ Develop a strategy to clean and maintain production data prior to the migration of data from NYCERS legacy system to the planned Legacy Replacement Project system â",TechnologyData & Innovation
"NYCERS IT Division seeks a Database Manager to support its Legacy Replacement Project (LRP) efforta mission critical transformative project that will ultimately achieve the migration of NYCERS core line-ofÂ­ business mainframe applications to modem technologies. The Database Manager role is critical to ensuring NYCERS data is as prepared as possible for future migration. The successful candidate will not only possess strong technical skills in the areas of data quality and data migrationbut will also be exceptionally ""hands on"" and able to effectively perform work independently as well as part of a team with both business and technical team members. In this capacitythe Database Manager will:â€¢ Coordinate all Data Analyst work activities including the identificationinventoryingand classification of NYCERS critical data. â€¢ Develop a strategy to clean and maintain production data prior to the migration of data from NYCERS legacy system to the planned Legacy Replacement Project system â",TechnologyData & Innovation
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 9 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The New York City Department of Environmental Protection (DEP) is seeking candidates to serve as a Supervisor of Stock Workersfor the Division of Field Operationsof the Bureau of Water and Sewer Operations (BWSO). BWSO is one of three operating Bureau in the agency with a total staff of over 1 200.The bureau is responsible for the operationmaintenance and protection of the city drinking water and waste,Building Operations & Maintenance
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 9 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The New York City Department of Environmental Protection (DEP) is seeking candidates to serve as a Supervisor of Stock Workersfor the Division of Field Operationsof the Bureau of Water and Sewer Operations (BWSO). BWSO is one of three operating Bureau in the agency with a total staff of over 1 200.The bureau is responsible for the operationmaintenance and protection of the city drinking water and waste,Building Operations & Maintenance
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.3 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day.The selected candidate will serve as the Engineer in Charge of Pumping for the Bureau of Water & Sewer Operations' (BWSO) Division of Distribution Operations. Distribution's role in the Bureau is to ensure that potable water is delivered at the appropriate pressure and volume to consumers throughout the five boroughs. Within the Agencydistribution staff works closely with Bureau Field OperationsBWS Water Quality and BEDC p,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.3 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day.The selected candidate will serve as the Engineer in Charge of Pumping for the Bureau of Water & Sewer Operations' (BWSO) Division of Distribution Operations. Distribution's role in the Bureau is to ensure that potable water is delivered at the appropriate pressure and volume to consumers throughout the five boroughs. Within the Agencydistribution staff works closely with Bureau Field OperationsBWS Water Quality and BEDC p,Engineering Architecture & Planning
Responsibilities include troubleshooting and resolving software and hardware related issues from callers to the Helpdeskproviding first level contact and convey resolutions to customer issuesproperly escalate unresolved queries to the next level of supporttrackroute and redirect problems to correct resourceswalk users through problem solving process follow up with customersprovide feedback and see problems through to resolutionutilizing excellent customer service skillsensuring proper recordingdocumentation and closure of call tickets.Where the problem requires additional considerationwill with the use of the Helpdesk call logging softwaredispatch call tickets to other units of Information TechnologyOperationsLitigation Supportand the Executive divisions.Additional duties includebut are not limited toinstructing users how to use FileSiteMicrosoft Office SuiteAdobe AcrobatLaw ManagerCitrixand Internet.,TechnologyData & Innovation
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways. The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $3B of planning and design contracts under its responsibility and management. The projects BEDC implements allow DEP as a whole to continue to operate and maintain an exemplary water supply system.Th,Engineering Architecture & Planning
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways. The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $3B of planning and design contracts under its responsibility and management. The projects BEDC implements allow DEP as a whole to continue to operate and maintain an exemplary water supply system.Th,Engineering Architecture & Planning
"OFFICE OF CHIEF MEDICAL EXAMINER CITYWIDE JOB VACANCY NOTICECivil Service Title:Clerical Associate Level II (Open to Permanent Clerical Associates only) Title Code No:10251  Salary: $30 580   35 098 Office Title: HR Administrative Assistant  	 Work Location: 421 East 26th StNYC Division/Work Unit:Human Resources Department  Number of Positions: 1 Hours/Shift:35 hours per week The Office of Chief Medical Examiner investigates cases of persons who die within New York City from criminal violenceby accidentby suicidesuddenly when in apparent healthwhen unattended by a physicianin a correctional facility or in any suspicious or unusual manner or where an application is made pursuant to law for a permit to cremate a body of a person. We exist to provide answers in support of familiesvictims and community during times of profound need.The core values of the OCME are to put the mission of the agency firstto be truly dedicatedand to have integrity in every aspect of our pr",Administration & Human Resources
"OFFICE OF CHIEF MEDICAL EXAMINER CITYWIDE JOB VACANCY NOTICECivil Service Title:Clerical Associate Level II (Open to Permanent Clerical Associates only) Title Code No:10251  Salary: $30 580   35 098 Office Title: HR Administrative Assistant  	 Work Location: 421 East 26th StNYC Division/Work Unit:Human Resources Department  Number of Positions: 1 Hours/Shift:35 hours per week The Office of Chief Medical Examiner investigates cases of persons who die within New York City from criminal violenceby accidentby suicidesuddenly when in apparent healthwhen unattended by a physicianin a correctional facility or in any suspicious or unusual manner or where an application is made pursuant to law for a permit to cremate a body of a person. We exist to provide answers in support of familiesvictims and community during times of profound need.The core values of the OCME are to put the mission of the agency firstto be truly dedicatedand to have integrity in every aspect of our pr",Administration & Human Resources
Under general supervisionperforms responsible and difficult marine project work on various waterfront facilities and structures such as ferry landings and rackspiersbulkheadsseawallsheavy marine foundationsmarinasand other coastal structures for the Staten Island Ferry. Provides engineering expertise and services to include preliminary/final design and reviewnew constructionreconstructionrehabilitation and repairs of infrastructure. Performs related work. Reports directly to the Deputy Director of Engineering. EXAMPLES OF TYPICAL TASKS:Serve as project manager on small to large scalecomplexwaterfrontmarine structuralmechanicaland electrical engineering projects and programsin all phases of engineering design and construction including field investigationspreliminary designsregulatory approvalsfinal designdevelopment of contract documentsand construction administration. Planassign and review the work of consultants. Manage consultant and construction projects an,Engineering Architecture & Planning
Under general supervisionperforms responsible and difficult marine project work on various waterfront facilities and structures such as ferry landings and rackspiersbulkheadsseawallsheavy marine foundationsmarinasand other coastal structures for the Staten Island Ferry. Provides engineering expertise and services to include preliminary/final design and reviewnew constructionreconstructionrehabilitation and repairs of infrastructure. Performs related work. Reports directly to the Deputy Director of Engineering. EXAMPLES OF TYPICAL TASKS:Serve as project manager on small to large scalecomplexwaterfrontmarine structuralmechanicaland electrical engineering projects and programsin all phases of engineering design and construction including field investigationspreliminary designsregulatory approvalsfinal designdevelopment of contract documentsand construction administration. Planassign and review the work of consultants. Manage consultant and construction projects an,Engineering Architecture & Planning
"Reporting to the Executive Director of Protective Accountabilitythe Director of the Child Protective Audit Unit will: Lead and supervise case auditorsincluding day-to-day supervision and coachingcomplete performance evaluations and other administrative functions for the Child Protective Audit Unit.Support the development and implementation of review instruments employed to assess case practice and record ratings online.Analyze case review findings and work closely with the Executive Director to draft reports of findings for internal and external stakeholders including but not limited to the DCP Borough OfficesEmergency Children's Services Unit or the Confidential Investigations Unit.Monitor and ensure random case selection for review and maintain progress log on completion of assignmentsas well as annual log. Ensure complete and consistent evaluation of child safety in all reviews (quality control).Create measures to monitor the quality of case ",Social Services
The Supervisor/Auditors will complete case audits and conduct quality assurance reviews of the Case Analysts workoversee the issuing of all safety and risk alertstrain and monitor staff for timely and quality reviewsconduct inter-rater reliability exercise to ensure the reliability of case review data across different reviewersresponds to all rebuttals from providers related to review datasends trend summaries following the completion of the review.,Social Services
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Under general supe,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. The Bureau of Wastewater Treatment is responsible for the operation and maintenance of all facilities related to the treatment of sewage within the five boroughs of New York City. This includes wastewater treatment plantssludge dewatering facilitiescollections facilities (pumping stationscombined sewer overflow retention facilitiesregulatorstide gates)wastewater laboratories and harbor vessels.Under general supe,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.3 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. In the proposed title of Mechanical Engineering Internthe selected candidate will perform required water distribution engineering assignments in both the field and the office. Some examples of field assignments include performing hydrant flow testingconducting pressure & water quality surveysand directing departmental crews in the operation of water valves in the support of water main shutdownsreactivations and flushi,Engineering Architecture & Planning
The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.3 million New York City residents and more than 1 million people in Upstate New Yorkand we collect and treat an average of 1.3 billion gallons of wastewater per day. In the proposed title of Mechanical Engineering Internthe selected candidate will perform required water distribution engineering assignments in both the field and the office. Some examples of field assignments include performing hydrant flow testingconducting pressure & water quality surveysand directing departmental crews in the operation of water valves in the support of water main shutdownsreactivations and flushi,Engineering Architecture & Planning
The duties and responsibilities of this position include directing and overseeing a staff of highly skilled scientific professionals responsible for implementing the Crime Scene Unit Quality Assurance Program and evaluating and monitoring the results. Specific duties include: coordinating the Crime Scene Unit ASCLD/LAB accreditation effortsreviewingevaluating and recommending changes to ensure ongoing compliance with ASCLD/LAB accreditation requirementsadministering the Proficiency testing on an annual and/or semi-annual basisconducting technical reviews of caseworkthe maintenance of reagentsscreening tests and reference standardsand maintaining and calibrating equipment and materialsand overseeing the procurement of tests from outside vendors and the design of in-house tests when no commercially available proficiency test exists and evaluates the results. This position will be responsible for developing and monitoring quality control programsprotocols and procedures w,Public SafetyInspections& Enforcement
The duties and responsibilities of this position include directing and overseeing a staff of highly skilled scientific professionals responsible for implementing the Crime Scene Unit Quality Assurance Program and evaluating and monitoring the results. Specific duties include: coordinating the Crime Scene Unit ASCLD/LAB accreditation effortsreviewingevaluating and recommending changes to ensure ongoing compliance with ASCLD/LAB accreditation requirementsadministering the Proficiency testing on an annual and/or semi-annual basisconducting technical reviews of caseworkthe maintenance of reagentsscreening tests and reference standardsand maintaining and calibrating equipment and materialsand overseeing the procurement of tests from outside vendors and the design of in-house tests when no commercially available proficiency test exists and evaluates the results. This position will be responsible for developing and monitoring quality control programsprotocols and procedures w,Public SafetyInspections& Enforcement
The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking watercollecting and treating wastewaterand reducing airnoiseand hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the countrywith nearly 6 000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New Yorkand has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the city surrounding waterways. The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $3B of planning and design contracts under its responsibility and management. The projects BEDC implements allow DEP as a whole to continue to operate and maintain an exemplary water supply system.Th,Engineering Architecture & Planning
